Sample	Group	Trichoderma	Aureobasidium	Neopestalotiopsis	Saccharomycopsis	Talaromyces	Fusarium	Ophionectria	Nigrospora	Unassigned Capnodiales	Ganoderma	Unassigned Sordariomycetes	Unassigned Pleosporale	Unassigned Pleosporale2	Hanseniaspora	Lactarius	Lasiodiplodia	Candida	Pichia	Schwanniomyces	Unassigned Ascomycota	Sordaria	Wickerhamomyces	Trichosporon	Unassigned Didymosphaeriaceae	Cladosporium	Saccharomyces	Aspergillus	Malassezia	Penicillium	Unassigned Saccharomycetales
X16	Chimps	0	0.17782717	1.82272854	3.59544318	0.31675465	0.978049458	0.194498472	2.12836899	0.539038622	0.14448458	0.78910809	0.61683801	0.6668519	0.594609614	0	1.43373159	0.45012503	0	13.97054737	1.18921923	0	0.700194498	0	0.60572381	1.55043068	0	0.211169769	0	1.64490136	1.94498472
X2	Chimps	0	0.37379339	1.9880879	0	0	0.283425755	0	4.4567673	0.768124872	0	0.6490039	1.30211542	1.07619634	0	0	6.21893613	0	0	0	1.54446498	0	0.303963853	0	1.43355925	3.80365578	0	0	0.188950503	0	0
X3	Chimps	0	0.03823726	0	0	0	0	0	0.04301692	0	0	15.02724405	0	0	0	0	25.48513526	0	0	0.02389829	6.60548705	0	0	0	0.01433897	42.83051334	0	0	0	6.75365644	0
M157	Mangabey	0	0	0	0	0.01017915	0	0	0	0	0	0	0	0	0.006786102	0.08143322	0	0.0135722	0.010179153	0.01696526	0	0	0.006786102	0	0	0	0	0.088219327	0	0	0.1594734
M158	Mangabey	0.14968336	0	0.83285358	0.43753598	0.06140856	1.116868164	0	0	0	0	0.41066974	0.7253886	0.35693725	0	0	0.10746498	5.30416427	0.049894454	0	0.57570524	0	0	0	0.04221838	0.00767607	0	0.552677029	0	0.62176166	0
M159	Mangabey	0.74027073	0	3.8000564	0.29610829	0.58516638	0.73322053	0	0	0.19035533	0.04935138	2.9822335	1.0857304	0.83897349	0	0	0.09165257	0.71912014	0	0	2.15736041	0	0	0.12690355	0.25380711	0.09165257	0	3.503948111	0.225606317	2.34066554	0
M255	Mangabey	0.44581978	0	0.17832791	0	0.31994126	1.048987727	0.073429141	0	0.057694325	0	0.60841288	0.3933704	0.15210322	0	0.1363684	0.03671457	2.42840659	0	0	0.89688451	0.05769432	0.524493863	0	0.11014371	0.01573482	0	5.061365782	0.11538865	2.13469002	0.05244939
M45	Mangabey	0	0	0	0.01819726	0	1.34053136	0	0	0.551983501	0	0	0	1.03117797	0	0	0	8.88632779	0.054591775	0	0.10918355	0	11.1973796	0	0	0	0	0.533786243	2.602207934	16.08031057	1.60742448
M49	Mangabey	0.16166041	0	1.20463079	0	0.63099708	0.359824781	0	0	0.511055486	0.0104297	0.4015436	0.94910305	0.28681685	0.015644556	0.09908219	1.94513976	2.49791406	1.679182311	0.10429704	3.58781811	0	0.693575302	0	0.53712975	0.41718815	0	1.501877347	0.073007927	3.0246141	0.04171882
X102M	Mangabey	0.29585799	0	0.90166244	0.13384052	2.28937729	0.507185123	0	0	0.239504086	0.07748662	0.42969851	1.00028177	0.42265427	0	0	0.71851226	0.77486616	0.042265427	0	1.32431671	0	4.44491406	0	0.25359256	1.6201747	0	28.7264018	0.042265427	0.50014088	0.5776275
X249M	Mangabey	0.54983858	0	0.71125908	10.91606134	1.06941082	0.79196933	0.095843422	0.06557708	0.090799031	0.14628733	1.45782889	0.73143664	0.49939467	0.015133172	1.23083132	0.19673123	2.76937046	1.064366425	0.27239709	4.07586764	0	2.118644068	0	0.06053269	0	0	2.910613398	0.025221953	4.4693301	0.02522195
X251M	Mangabey	0	0	0	0	0	0.070702127	0	0	0.152281503	0	0.13596563	3.91037146	1.95790504	0	0	0.22842225	0.76140752	0	0	7.85337467	0	0.076140752	0	0.32631751	0.79403927	0	0.239299505	0	25.70838092	0
X253M	Mangabey	0.25286818	0	0.18262702	0.01873098	0.52446734	1.737298057	0	0	0.02341372	0.0421447	0.51510185	1.25965816	0.38866776	0	0	0.59002576	19.3631468	0.098337626	0	0.91781784	0.02341372	3.109342074	0	0.03277921	0	0	0.121751346	0	3.69000234	0.19667525
X87M	Mangabey	0.049132	0	0.03275467	0	0.37121957	0	0	0	0.556829348	0	0.30571023	6.29435528	3.00251119	0	0	2.10175783	0	0.114641336	0	3.28638498	0	0	0	1.04269025	0	0	12.26116388	0	6.2070095	0
B1	Mountain Gorilla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76.35091566	0	0
