ITS	Kingdom	Phylum	Class	Order	Family	Genus	Species
99fc3b75ffa5aab60a928ded1a0bd77b	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Xylaria	Xylaria_hypoxylon
ff19368e85bc940058b83cf670856087	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia_terricola
aa1d0c2aa590aa5d57f3b261ab903bce	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	unidentified
594a7671afb22ad80d781a337ede6459	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales			
20de80e36a8daf6f2a7ddbb832573ea6	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales			
036d524f46c95e769341a45099dfd716	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_prosopidis
22ec27b7367ce45e8ac8e9a944a038a1	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_quercitrusa
38e4d682c5c17ff304cb083bca0e7c81	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae		
78e2fb099d0d252208e4151af9a36aec	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria	Beauveria_felina
6de4e94e0878162123f878bc4239bf84	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae		
2327636131ff38f571e7f8498ffea634	Fungi	Ascomycota	Sordariomycetes	Xylariales	Beltraniaceae		
a0958ffd2afe0e812a3654265be7aaeb	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Cyberlindnera	Cyberlindnera_jadinii
15db62cfb58f278549ae2aac799d22cf	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	unidentified	unidentified	unidentified
556aa054e38b9f74a2ae1c53ac3b257d	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	unidentified	unidentified	unidentified
b839e6fffc96c419769d8e54ff3f433a	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia_mandshurica
2c737630a237bcdb4fa848e5fe047e0b	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae		
1fa8d7e0411d9414306a57767416e077	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Thyridariaceae	Roussoella	Roussoella_solani
3cb70423877cfe6cd78ab14aa7fe9c89	Fungi	Ascomycota	Dothideomycetes				
b87cce15fba248d54d30b9617d70b8af	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	unidentified
0ecaef8c0b4d6f0540abd11939b597c1	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis	Pyrenochaetopsis_leptospora
2e1f52c6f4c2e260c6a26beef006a2dc	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Cyphellophoraceae	Cyphellophora	Cyphellophora_vermispora
30890edba2ba53faea3ae34a8caf1a0a	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Volutella	
074f81db997e702d17c85be0c46b03ad	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_albicans
